ticket_id,ticket_priority,ticket_assignee_id,ticket_manager_id,ticket_assignee_dept,ticket_creation_day,ticket_completion_time
10000115,high,2,107,Manufacturing,Sunday,107.0947551
10000116,critical,2,107,Manufacturing,Thursday,91.60046611
10000117,medium,13,112,Commercial,Sunday,130.0972741
10000118,critical,12,110,Development,Sunday,22.2700002
10000119,high,11,104,Research,Monday,106.716786
10000120,medium,2,107,Manufacturing,Monday,157.7245854
10000121,high,3,105,Administrative,Friday,120.1535582
10000122,high,8,106,Commercial,Thursday,91.21100141
10000123,medium,17,106,Commercial,Wednesday,134.3506664
10000124,high,13,112,Commercial,Saturday,124.4102278
10000125,high,5,110,Development,Tuesday,71.54497379
10000126,medium,6,108,Commercial,Tuesday,134.0299895
10000127,critical,4,112,Commercial,Sunday,89.41340309
10000128,high,6,108,Commercial,Saturday,117.6307588
10000129,medium,3,105,Administrative,Tuesday,135.5788539
10000130,low,16,108,Commercial,Friday,157.7905504
10000131,low,11,104,Research,Tuesday,162.0975705
10000132,high,12,110,Development,Friday,151.8157816
10000133,high,15,110,Development,Wednesday,45.02073875
10000134,critical,2,107,Manufacturing,Saturday,111.7531641
10000135,medium,19,108,Commercial,Tuesday,139.3134348
10000136,medium,19,108,Commercial,Monday,81.26006373
10000137,medium,16,108,Commercial,Monday,156.2594456
10000138,low,3,105,Administrative,Saturday,122.1763192
10000139,high,19,108,Commercial,Tuesday,51.22322819
10000140,low,18,111,Manufacturing,Friday,130.3239221
10000141,high,15,110,Development,Saturday,51.60852761
10000142,medium,18,111,Manufacturing,Monday,93.50236218
10000143,medium,1,103,Administrative,Wednesday,90.56025939
10000144,high,11,104,Research,Saturday,67.49645774
10000145,critical,19,108,Commercial,Thursday,67.64728541
10000146,critical,18,111,Manufacturing,Monday,66.02970536
10000147,low,4,112,Commercial,Sunday,115.7864389
10000148,low,10,107,Manufacturing,Wednesday,107.5507405
10000149,high,6,108,Commercial,Saturday,131.9306125
10000150,medium,17,106,Commercial,Tuesday,133.9453181
10000151,critical,1,103,Administrative,Thursday,67.07213535
10000152,critical,11,104,Research,Sunday,120.6268258
10000153,low,15,110,Development,Sunday,139.6410087
10000154,medium,9,107,Manufacturing,Monday,94.6570425
10000155,low,13,112,Commercial,Saturday,113.6810905
10000156,low,8,106,Commercial,Tuesday,120.8221789
10000157,low,17,106,Commercial,Sunday,155.9369245
10000158,critical,14,110,Development,Wednesday,77.21152088
10000159,high,13,112,Commercial,Friday,113.3845603
10000160,low,4,112,Commercial,Tuesday,139.6462323
10000161,critical,13,112,Commercial,Monday,63.8722879
10000162,medium,7,106,Commercial,Monday,82.91016558
10000163,high,9,107,Manufacturing,Saturday,120.7061431
10000164,low,3,105,Administrative,Tuesday,147.1921709
10000165,high,10,107,Manufacturing,Thursday,66.1978458
10000166,low,9,107,Manufacturing,Saturday,182.4850982
10000167,critical,10,107,Manufacturing,Thursday,76.40833942
10000168,critical,9,107,Manufacturing,Wednesday,83.67717311
10000169,high,7,106,Commercial,Thursday,53.74010254
10000170,medium,13,112,Commercial,Saturday,138.0412441
10000171,medium,3,105,Administrative,Monday,94.853261
10000172,low,8,106,Commercial,Tuesday,169.7154624
10000173,low,4,112,Commercial,Thursday,103.0757116
10000174,high,5,110,Development,Friday,90.12443295
10000175,high,10,107,Manufacturing,Tuesday,112.6597524
10000176,low,7,106,Commercial,Sunday,129.03469
10000177,critical,12,110,Development,Monday,52.26764846
10000178,medium,16,108,Commercial,Monday,75.29192153
10000179,high,13,112,Commercial,Monday,141.8215741
10000180,high,7,106,Commercial,Sunday,75.74249498
10000181,low,3,105,Administrative,Tuesday,150.0925861
10000182,high,2,107,Manufacturing,Sunday,142.0186624
10000183,high,7,106,Commercial,Thursday,91.1996864
10000184,low,13,112,Commercial,Tuesday,140.8749418
10000185,medium,11,104,Research,Tuesday,153.3764169
10000186,critical,14,110,Development,Friday,97.62775006
10000187,low,9,107,Manufacturing,Friday,133.4351289
10000188,medium,18,111,Manufacturing,Thursday,121.700799
10000189,critical,10,107,Manufacturing,Tuesday,105.6792577
10000190,critical,13,112,Commercial,Thursday,45.46691586
10000191,low,16,108,Commercial,Saturday,135.9279332
10000192,critical,1,103,Administrative,Saturday,75.34928714
10000193,critical,4,112,Commercial,Thursday,84.32870543
10000194,low,4,112,Commercial,Thursday,92.86031908
10000195,medium,17,106,Commercial,Wednesday,91.11781208
10000196,low,2,107,Manufacturing,Wednesday,175.7737105
10000197,critical,3,105,Administrative,Thursday,83.60126822
10000198,low,18,111,Manufacturing,Friday,181.7606543
10000199,high,13,112,Commercial,Sunday,85.41230574
10000200,critical,12,110,Development,Wednesday,90.25429307
10000201,critical,16,108,Commercial,Sunday,73.83813009
10000202,critical,4,112,Commercial,Saturday,77.02156211
10000203,medium,7,106,Commercial,Sunday,105.1260592
10000204,high,19,108,Commercial,Tuesday,97.75971515
10000205,medium,17,106,Commercial,Saturday,173.2231634
10000206,high,11,104,Research,Thursday,69.91817324
10000207,low,3,105,Administrative,Tuesday,96.72054234
10000208,medium,10,107,Manufacturing,Wednesday,149.5283331
10000209,low,1,103,Administrative,Sunday,104.2483554
10000210,medium,2,107,Manufacturing,Saturday,117.4961835
10000211,high,8,106,Commercial,Thursday,98.37224944
10000212,high,13,112,Commercial,Monday,125.0305952
10000213,high,5,110,Development,Thursday,100.130011
10000214,high,3,105,Administrative,Friday,167.0284174
10000215,high,3,105,Administrative,Thursday,121.0738738
10000216,high,9,107,Manufacturing,Friday,154.7402394
10000217,critical,13,112,Commercial,Wednesday,97.12361339
10000218,low,9,107,Manufacturing,Thursday,143.6172148
10000219,critical,4,112,Commercial,Friday,108.7200518
10000220,medium,10,107,Manufacturing,Wednesday,132.881759
10000221,medium,15,110,Development,Tuesday,71.300725
10000222,high,8,106,Commercial,Thursday,125.8528642
10000223,critical,13,112,Commercial,Friday,140.0453459
10000224,low,5,110,Development,Sunday,81.58658479
10000225,critical,5,110,Development,Thursday,24.11580728
10000226,low,19,108,Commercial,Thursday,126.2077143
10000227,critical,7,106,Commercial,Thursday,68.17914669
10000228,medium,10,107,Manufacturing,Thursday,90.90513113
10000229,low,6,108,Commercial,Friday,143.9452115
10000230,low,2,107,Manufacturing,Monday,156.7494096
10000231,high,9,107,Manufacturing,Tuesday,77.61341727
10000232,medium,4,112,Commercial,Wednesday,158.1267223
10000233,low,2,107,Manufacturing,Wednesday,101.0819605
10000234,low,4,112,Commercial,Monday,158.1136016
10000235,critical,2,107,Manufacturing,Tuesday,92.45004976
10000236,medium,4,112,Commercial,Thursday,106.6342431
10000237,medium,13,112,Commercial,Monday,153.4508118
10000238,critical,19,108,Commercial,Wednesday,92.29530605
10000239,high,16,108,Commercial,Tuesday,63.74712614
10000240,low,12,110,Development,Tuesday,123.1514061
10000241,low,15,110,Development,Thursday,86.01083791
10000242,low,16,108,Commercial,Wednesday,168.2171501
10000243,low,19,108,Commercial,Wednesday,94.31747266
10000244,critical,13,112,Commercial,Monday,87.75053365
10000245,critical,9,107,Manufacturing,Thursday,53.33992232
10000246,high,15,110,Development,Tuesday,74.79083611
10000247,high,5,110,Development,Monday,45.96893358
10000248,medium,2,107,Manufacturing,Saturday,158.2411436
10000249,critical,19,108,Commercial,Sunday,35.89748417
10000250,critical,1,103,Administrative,Sunday,121.7570901
10000251,critical,12,110,Development,Wednesday,76.52851703
10000252,high,16,108,Commercial,Friday,131.2842593
10000253,critical,10,107,Manufacturing,Monday,118.0438648
10000254,medium,11,104,Research,Saturday,132.5085421
10000255,critical,13,112,Commercial,Saturday,110.9941255
10000256,high,1,103,Administrative,Saturday,105.9018315
10000257,low,11,104,Research,Saturday,136.8475948
10000258,low,15,110,Development,Wednesday,143.6294305
10000259,high,15,110,Development,Thursday,113.5556885
10000260,high,18,111,Manufacturing,Thursday,134.650354
10000261,critical,17,106,Commercial,Saturday,66.43615879
10000262,low,13,112,Commercial,Thursday,110.8346329
10000263,high,12,110,Development,Friday,107.3349571
10000264,low,18,111,Manufacturing,Sunday,112.212866
10000265,medium,17,106,Commercial,Wednesday,128.0241818
10000266,high,5,110,Development,Sunday,70.68556877
10000267,critical,4,112,Commercial,Sunday,38.06756523
10000268,critical,13,112,Commercial,Monday,35.12916735
10000269,medium,17,106,Commercial,Monday,152.3846914
10000270,medium,12,110,Development,Thursday,77.138494
10000271,critical,16,108,Commercial,Friday,115.9210457
10000272,low,12,110,Development,Thursday,153.6587516
10000273,low,16,108,Commercial,Saturday,178.5998688
10000274,medium,10,107,Manufacturing,Friday,166.8907241
10000275,medium,8,106,Commercial,Thursday,100.4626999
10000276,medium,10,107,Manufacturing,Tuesday,114.6035659
10000277,medium,6,108,Commercial,Thursday,153.0069632
10000278,low,11,104,Research,Friday,139.7357961
10000279,medium,12,110,Development,Monday,138.3629437
10000280,critical,1,103,Administrative,Thursday,49.03952158
10000281,medium,17,106,Commercial,Monday,85.21737666
10000282,low,16,108,Commercial,Sunday,147.8014715
10000283,medium,5,110,Development,Wednesday,129.6901521
10000284,low,1,103,Administrative,Wednesday,139.5219742
10000285,high,5,110,Development,Saturday,124.5411556
10000286,medium,8,106,Commercial,Tuesday,109.4774954
10000287,medium,19,108,Commercial,Monday,94.46096192
10000288,critical,5,110,Development,Tuesday,64.03990464
10000289,low,19,108,Commercial,Friday,176.3422535
10000290,high,17,106,Commercial,Sunday,87.37938254
10000291,low,8,106,Commercial,Wednesday,91.28525228
10000292,medium,8,106,Commercial,Thursday,104.3282378
10000293,low,13,112,Commercial,Saturday,186.2173082
10000294,critical,10,107,Manufacturing,Friday,146.7154716
10000295,low,15,110,Development,Wednesday,103.3561173
10000296,medium,5,110,Development,Saturday,93.16073294
10000297,critical,3,105,Administrative,Wednesday,61.3267512
10000298,medium,8,106,Commercial,Thursday,78.86899811
10000299,medium,12,110,Development,Friday,141.3739352
10000300,critical,5,110,Development,Wednesday,54.75095185
10000301,low,13,112,Commercial,Wednesday,138.3737784
10000302,medium,9,107,Manufacturing,Wednesday,133.5142173
10000303,low,15,110,Development,Wednesday,131.6765227
10000304,medium,13,112,Commercial,Monday,108.4809944
10000305,low,3,105,Administrative,Thursday,110.0692074
10000306,medium,10,107,Manufacturing,Friday,159.8064032
10000307,low,5,110,Development,Monday,103.0385413
10000308,low,4,112,Commercial,Saturday,139.6640686
10000309,low,19,108,Commercial,Wednesday,167.0300779
10000310,medium,7,106,Commercial,Friday,172.206311
10000311,low,16,108,Commercial,Tuesday,152.9990619
10000312,critical,15,110,Development,Monday,53.57844042
10000313,medium,11,104,Research,Wednesday,87.77735247
10000314,low,2,107,Manufacturing,Saturday,136.9419906
10000315,high,14,110,Development,Friday,147.9568237
10000316,high,18,111,Manufacturing,Sunday,121.0404365
10000317,medium,4,112,Commercial,Monday,99.91411053
10000318,critical,8,106,Commercial,Wednesday,82.26822029
10000319,high,9,107,Manufacturing,Monday,85.77271517
10000320,critical,15,110,Development,Thursday,74.74336479
10000321,critical,1,103,Administrative,Sunday,65.82100743
10000322,critical,4,112,Commercial,Wednesday,94.852724
10000323,critical,3,105,Administrative,Thursday,67.15536465
10000324,critical,14,110,Development,Saturday,40.59497079
10000325,critical,1,103,Administrative,Wednesday,43.26797668
10000326,low,14,110,Development,Monday,84.4663371
10000327,critical,17,106,Commercial,Monday,78.3124856
10000328,low,16,108,Commercial,Saturday,168.135146
10000329,high,6,108,Commercial,Thursday,96.77533413
10000330,medium,2,107,Manufacturing,Friday,162.0488944
10000331,critical,1,103,Administrative,Monday,117.4550416
10000332,medium,10,107,Manufacturing,Friday,125.6231052
10000333,medium,1,103,Administrative,Tuesday,129.725745
10000334,high,18,111,Manufacturing,Wednesday,94.01570623
10000335,critical,18,111,Manufacturing,Tuesday,77.884933
10000336,high,5,110,Development,Tuesday,44.5784267
10000337,critical,3,105,Administrative,Wednesday,39.36045176
10000338,low,1,103,Administrative,Thursday,141.219935
10000339,critical,16,108,Commercial,Sunday,78.35251914
10000340,critical,7,106,Commercial,Friday,131.7413029
10000341,critical,4,112,Commercial,Thursday,58.01456172
10000342,low,15,110,Development,Monday,157.7944218
10000343,low,3,105,Administrative,Wednesday,146.6878289
10000344,critical,11,104,Research,Monday,108.6978341
10000345,low,18,111,Manufacturing,Wednesday,168.6610623
10000346,critical,13,112,Commercial,Wednesday,109.398816
10000347,low,13,112,Commercial,Friday,208.4455846
10000348,low,16,108,Commercial,Monday,140.8693566
10000349,low,13,112,Commercial,Sunday,124.358007
10000350,critical,12,110,Development,Saturday,109.9255288
10000351,critical,8,106,Commercial,Monday,96.12267543
10000352,high,13,112,Commercial,Monday,78.25817376
10000353,high,8,106,Commercial,Saturday,84.01181597
10000354,low,11,104,Research,Thursday,180.0785376
10000355,medium,6,108,Commercial,Saturday,136.2309251
10000356,medium,2,107,Manufacturing,Monday,80.91750594
10000357,critical,10,107,Manufacturing,Saturday,79.62935693
10000358,low,1,103,Administrative,Saturday,127.9888578
10000359,high,9,107,Manufacturing,Friday,143.7282867
10000360,medium,19,108,Commercial,Saturday,111.9470384
10000361,high,13,112,Commercial,Saturday,153.2951199
10000362,high,6,108,Commercial,Sunday,112.8323667
10000363,low,2,107,Manufacturing,Wednesday,164.5818442
10000364,low,14,110,Development,Tuesday,140.3469984
10000365,medium,15,110,Development,Saturday,79.72790085
10000366,critical,10,107,Manufacturing,Saturday,107.6029053
10000367,critical,15,110,Development,Wednesday,27.82064992
10000368,medium,16,108,Commercial,Wednesday,84.90717694
10000369,high,19,108,Commercial,Saturday,89.15774893
10000370,medium,16,108,Commercial,Tuesday,90.94333542
10000371,high,12,110,Development,Tuesday,63.02303133
10000372,high,4,112,Commercial,Friday,110.784365
10000373,high,12,110,Development,Wednesday,63.8162653
10000374,low,5,110,Development,Friday,194.8661851
10000375,low,2,107,Manufacturing,Wednesday,164.805186
10000376,low,12,110,Development,Saturday,125.0505925
10000377,critical,8,106,Commercial,Tuesday,53.46749003
10000378,critical,2,107,Manufacturing,Saturday,80.44081096
10000379,low,12,110,Development,Monday,146.1644214
10000380,critical,16,108,Commercial,Monday,33.21477594
10000381,high,10,107,Manufacturing,Wednesday,91.40014126
10000382,high,4,112,Commercial,Sunday,68.36481547
10000383,low,8,106,Commercial,Saturday,104.5880715
10000384,low,2,107,Manufacturing,Friday,167.5595791
10000385,critical,16,108,Commercial,Tuesday,86.84764226
10000386,critical,19,108,Commercial,Monday,114.9847555
10000387,low,11,104,Research,Saturday,155.168077
10000388,low,10,107,Manufacturing,Sunday,143.2303657
10000389,critical,18,111,Manufacturing,Sunday,63.08362924
10000390,low,16,108,Commercial,Tuesday,121.0639864
10000391,critical,16,108,Commercial,Sunday,53.24700474
10000392,critical,16,108,Commercial,Tuesday,61.77822514
10000393,medium,6,108,Commercial,Tuesday,154.740334
10000394,high,1,103,Administrative,Sunday,77.31131757
10000395,medium,1,103,Administrative,Tuesday,116.5012727
10000396,critical,11,104,Research,Friday,149.8427745
10000397,high,10,107,Manufacturing,Thursday,134.2415618
10000398,high,13,112,Commercial,Thursday,72.3843039
10000399,high,6,108,Commercial,Sunday,98.8443467
10000400,low,14,110,Development,Wednesday,74.85353093
10000401,high,2,107,Manufacturing,Saturday,148.8541848
10000402,high,13,112,Commercial,Friday,174.2515135
10000403,low,7,106,Commercial,Friday,211.961441
10000404,low,8,106,Commercial,Thursday,125.9412331
10000405,critical,6,108,Commercial,Wednesday,60.26817922
10000406,high,10,107,Manufacturing,Thursday,110.133346
10000407,high,12,110,Development,Tuesday,103.61504
10000408,critical,16,108,Commercial,Wednesday,119.4442315
10000409,high,16,108,Commercial,Monday,118.9842874
10000410,medium,4,112,Commercial,Saturday,146.2732681
10000411,medium,8,106,Commercial,Thursday,90.67564253
10000412,critical,18,111,Manufacturing,Monday,91.25800823
10000413,low,1,103,Administrative,Sunday,166.8862035
10000414,critical,3,105,Administrative,Sunday,106.7811957
10000415,low,16,108,Commercial,Saturday,127.3538198
10000416,high,11,104,Research,Monday,56.76806819
10000417,medium,15,110,Development,Monday,60.41337932
10000418,low,15,110,Development,Wednesday,148.4938953
10000419,medium,12,110,Development,Tuesday,134.9796027
10000420,critical,14,110,Development,Tuesday,97.73591593
10000421,high,4,112,Commercial,Friday,176.087408
10000422,medium,15,110,Development,Sunday,137.5464767
10000423,medium,16,108,Commercial,Monday,118.7939748
10000424,medium,8,106,Commercial,Friday,171.2776852
10000425,high,18,111,Manufacturing,Friday,174.9126617
10000426,critical,17,106,Commercial,Monday,44.29024759
10000427,medium,15,110,Development,Tuesday,71.11666681
10000428,medium,11,104,Research,Thursday,150.325673
10000429,medium,18,111,Manufacturing,Tuesday,118.9586368
10000430,medium,10,107,Manufacturing,Monday,104.0101129
10000431,critical,11,104,Research,Sunday,119.1487458
10000432,medium,14,110,Development,Thursday,139.0487441
10000433,medium,17,106,Commercial,Sunday,93.39025208
10000434,high,3,105,Administrative,Sunday,111.2723699
10000435,medium,13,112,Commercial,Thursday,116.6195572
10000436,medium,13,112,Commercial,Thursday,111.4803856
10000437,medium,10,107,Manufacturing,Thursday,141.2755292
10000438,high,19,108,Commercial,Thursday,123.0838134
10000439,medium,4,112,Commercial,Saturday,138.3694426
10000440,medium,18,111,Manufacturing,Friday,152.9830735
10000441,medium,16,108,Commercial,Friday,166.2566198
10000442,low,18,111,Manufacturing,Wednesday,95.79849988
10000443,low,10,107,Manufacturing,Wednesday,124.9016152
10000444,high,11,104,Research,Friday,102.8632394
10000445,high,18,111,Manufacturing,Sunday,74.56107478
10000446,high,13,112,Commercial,Saturday,102.4441153
10000447,high,18,111,Manufacturing,Monday,66.38011433
10000448,high,2,107,Manufacturing,Thursday,62.21033425
10000449,low,13,112,Commercial,Monday,165.9387074
10000450,high,11,104,Research,Tuesday,141.390307
10000451,high,9,107,Manufacturing,Saturday,85.71082031
10000452,high,2,107,Manufacturing,Monday,86.64926623
10000453,low,9,107,Manufacturing,Friday,181.6028408
10000454,high,17,106,Commercial,Tuesday,54.93798097
10000455,critical,3,105,Administrative,Tuesday,81.44861671
10000456,low,8,106,Commercial,Sunday,136.2634472
10000457,medium,16,108,Commercial,Saturday,114.3701298
10000458,high,16,108,Commercial,Saturday,151.6508115
10000459,low,5,110,Development,Monday,74.58859689
10000460,medium,12,110,Development,Saturday,129.8160556
10000461,high,8,106,Commercial,Friday,96.2624038
10000462,low,6,108,Commercial,Tuesday,126.9758853
10000463,high,8,106,Commercial,Monday,63.82242143
10000464,low,18,111,Manufacturing,Thursday,129.0780613
10000465,high,15,110,Development,Tuesday,36.37653789
10000466,high,17,106,Commercial,Wednesday,137.0156509
10000467,high,2,107,Manufacturing,Monday,88.08207978
10000468,low,6,108,Commercial,Monday,174.9518872
10000469,medium,14,110,Development,Tuesday,53.73842287
10000470,critical,6,108,Commercial,Sunday,41.12696016
10000471,medium,13,112,Commercial,Sunday,103.8658972
10000472,high,6,108,Commercial,Thursday,131.7199992
10000473,high,15,110,Development,Sunday,76.65430789
10000474,high,15,110,Development,Tuesday,102.4391774
10000475,critical,16,108,Commercial,Wednesday,105.2775334
10000476,medium,11,104,Research,Monday,142.0583576
10000477,low,14,110,Development,Tuesday,102.9161326
10000478,high,1,103,Administrative,Thursday,111.4769488
10000479,medium,3,105,Administrative,Monday,121.4034327
10000480,medium,3,105,Administrative,Monday,136.3111677
10000481,medium,2,107,Manufacturing,Monday,87.55997813
10000482,critical,9,107,Manufacturing,Monday,56.98620344
10000483,low,18,111,Manufacturing,Saturday,143.5965573
10000484,low,15,110,Development,Wednesday,94.76626432
10000485,low,4,112,Commercial,Thursday,144.7287068
10000486,medium,12,110,Development,Tuesday,54.43884575
10000487,medium,2,107,Manufacturing,Saturday,147.0955276
10000488,medium,12,110,Development,Wednesday,110.7299534
10000489,low,11,104,Research,Saturday,128.4750837
10000490,low,15,110,Development,Wednesday,129.803313
10000491,high,2,107,Manufacturing,Tuesday,76.35925528
10000492,high,5,110,Development,Tuesday,84.09827646
10000493,high,19,108,Commercial,Monday,63.11825672
10000494,low,10,107,Manufacturing,Thursday,104.3274091
10000495,critical,9,107,Manufacturing,Monday,53.59570374
10000496,medium,1,103,Administrative,Saturday,160.7246772
10000497,low,9,107,Manufacturing,Sunday,181.1025645
10000498,medium,1,103,Administrative,Sunday,89.74808497
10000499,critical,17,106,Commercial,Sunday,83.71989096
10000500,low,18,111,Manufacturing,Thursday,104.6381523
10000501,low,6,108,Commercial,Wednesday,115.2813083
10000502,low,17,106,Commercial,Thursday,153.5878486
10000503,medium,3,105,Administrative,Saturday,147.7125645
10000504,high,13,112,Commercial,Monday,107.1764202
10000505,low,1,103,Administrative,Saturday,176.5460477
10000506,critical,2,107,Manufacturing,Thursday,46.99987061
10000507,low,9,107,Manufacturing,Sunday,167.0219066
10000508,low,2,107,Manufacturing,Monday,129.3972553
10000509,critical,9,107,Manufacturing,Tuesday,102.2596235
10000510,medium,17,106,Commercial,Wednesday,159.5826277
10000511,high,13,112,Commercial,Monday,127.5522328
10000512,low,6,108,Commercial,Tuesday,111.8921846
10000513,low,8,106,Commercial,Monday,174.7930241
10000514,critical,1,103,Administrative,Tuesday,86.76644101
10000515,medium,12,110,Development,Thursday,77.48176901
10000516,high,4,112,Commercial,Sunday,125.6772209
10000517,medium,16,108,Commercial,Friday,190.3595202
10000518,medium,4,112,Commercial,Sunday,83.04319278
10000519,medium,8,106,Commercial,Wednesday,152.5104638
10000520,high,17,106,Commercial,Tuesday,52.02657053
10000521,critical,14,110,Development,Wednesday,64.040565
10000522,critical,19,108,Commercial,Wednesday,67.99857033
10000523,medium,7,106,Commercial,Friday,155.4404758
10000524,critical,11,104,Research,Wednesday,59.85833273
10000525,medium,15,110,Development,Wednesday,60.24017157
